epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1222,1.03932,2.06431,1.23625,0.74028,0.39895,0.42138,0.27277,1.32613,2.18826,1.58085,0.000413043,0.000413043,0.000413043
2,118.681,1.08757,1.51175,1.25401,0.73857,0.35252,0.34575,0.19466,1.81768,2.1318,2.08539,0.000813282,0.000813282,0.000813282
3,174.579,1.15203,1.42571,1.28112,0.72863,0.35693,0.37695,0.20833,1.69904,2.21456,1.9622,0.00119702,0.00119702,0.00119702
4,231.18,1.10703,1.26003,1.26599,0.75442,0.40613,0.44109,0.23096,1.71471,1.98578,1.94373,0.00117575,0.00117575,0.00117575
5,286.276,1.10411,1.18101,1.25737,0.78066,0.33859,0.40168,0.22026,1.69901,1.91729,1.85983,0.001151,0.001151,0.001151
6,342.116,1.07804,1.06449,1.23639,0.5481,0.45086,0.4545,0.29206,1.51228,1.8471,1.76819,0.00112625,0.00112625,0.00112625
7,397.73,1.05407,1.0576,1.23907,0.38388,0.45257,0.41942,0.26002,1.5479,1.98063,1.77779,0.0011015,0.0011015,0.0011015
8,454.599,1.04162,1.01642,1.22764,0.75072,0.4012,0.46595,0.25,1.57012,1.81278,1.81055,0.00107675,0.00107675,0.00107675
9,509.901,1.02549,0.96015,1.21309,0.51006,0.50734,0.51225,0.32154,1.50486,1.7898,1.74561,0.001052,0.001052,0.001052
10,565.168,1.01282,0.92294,1.20614,0.63131,0.48265,0.522,0.342,1.45197,1.56868,1.65975,0.00102725,0.00102725,0.00102725
11,620.795,0.9899,0.90737,1.19198,0.5208,0.50336,0.51191,0.31996,1.54097,1.66547,1.7326,0.0010025,0.0010025,0.0010025
12,679.333,0.99272,0.89549,1.19305,0.58117,0.49334,0.55361,0.36033,1.43823,1.51118,1.64998,0.00097775,0.00097775,0.00097775
13,734.696,0.95465,0.84775,1.17326,0.64694,0.57893,0.63876,0.39839,1.40993,1.40195,1.62318,0.000953,0.000953,0.000953
14,789.59,0.94645,0.82652,1.1711,0.62195,0.5985,0.6046,0.37822,1.39215,1.43454,1.61055,0.00092825,0.00092825,0.00092825
15,844.932,0.9579,0.83371,1.17301,0.66421,0.58832,0.60775,0.38881,1.42117,1.40855,1.63433,0.0009035,0.0009035,0.0009035
16,905.03,0.95269,0.82857,1.16233,0.67942,0.61801,0.64089,0.43021,1.34591,1.36552,1.59561,0.00087875,0.00087875,0.00087875
17,962.308,0.94787,0.80272,1.16007,0.67157,0.62968,0.66552,0.422,1.36226,1.32528,1.58694,0.000854,0.000854,0.000854
18,1019.78,0.94036,0.78289,1.15548,0.64782,0.61053,0.64683,0.43166,1.37764,1.3583,1.61373,0.00082925,0.00082925,0.00082925
19,1076.25,0.91954,0.7567,1.14619,0.64928,0.59633,0.64887,0.42049,1.33804,1.30053,1.55611,0.0008045,0.0008045,0.0008045
20,1135.2,0.92077,0.74421,1.14539,0.76653,0.66008,0.68748,0.45436,1.30566,1.25644,1.5529,0.00077975,0.00077975,0.00077975
